0,0.8,0.2,[9, 14, 2, 13, 16, 5, 7, 6, 12, 3, 8, 11, 15, 0, 10, 4, 1]
1,0.8,0.2,[12, 6, 16, 13, 14, 9, 1, 4, 10, 2, 5, 7, 8, 11, 15, 0, 3]
2,0.8,0.2,[13, 5, 7, 16, 6, 12, 3, 0, 15, 11, 8, 10, 4, 1, 9, 14, 2]
3,0.8,0.2,[16, 6, 12, 0, 15, 11, 8, 3, 7, 5, 2, 4, 1, 9, 10, 14, 13]
4,0.8,0.2,[6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 3, 12, 0]
5,0.8,0.2,[6, 16, 13, 14, 9, 1, 4, 10, 2, 5, 7, 8, 11, 15, 0, 3, 12]
6,0.8,0.2,[3, 15, 11, 8, 7, 5, 2, 10, 4, 1, 9, 14, 13, 16, 6, 0, 12]
7,0.8,0.2,[13, 16, 5, 7, 6, 12, 3, 8, 11, 15, 0, 14, 9, 1, 4, 10, 2]
8,0.8,0.2,[1, 4, 10, 2, 5, 7, 16, 6, 0, 15, 11, 8, 3, 12, 13, 14, 9]
9,0.8,0.2,[9, 1, 4, 8, 11, 15, 0, 3, 12, 6, 7, 5, 16, 13, 14, 2, 10]
0,0.7,0.3,[13, 14, 9, 1, 4, 10, 2, 5, 7, 6, 0, 15, 11, 8, 3, 12, 16]
1,0.7,0.3,[12, 3, 8, 11, 15, 0, 16, 13, 14, 9, 1, 4, 10, 2, 5, 7, 6]
2,0.7,0.3,[13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2, 10, 4, 1, 9, 14]
3,0.7,0.3,[0, 15, 11, 8, 4, 1, 9, 10, 2, 14, 13, 16, 5, 7, 6, 12, 3]
4,0.7,0.3,[14, 13, 16, 5, 7, 6, 0, 12, 3, 15, 11, 8, 4, 1, 9, 10, 2]
5,0.7,0.3,[13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2, 10, 4, 1, 9, 14]
6,0.7,0.3,[0, 3, 12, 6, 7, 16, 13, 14, 9, 1, 4, 10, 2, 5, 8, 11, 15]
7,0.7,0.3,[12, 6, 16, 7, 5, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0, 3]
8,0.7,0.3,[1, 9, 14, 13, 16, 8, 11, 15, 0, 3, 12, 6, 7, 5, 2, 10, 4]
9,0.7,0.3,[0, 15, 11, 8, 3, 12, 16, 13, 14, 9, 1, 4, 10, 2, 5, 7, 6]
0,0.6,0.4,[6, 16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 12, 3, 8, 11, 15, 0]
1,0.6,0.4,[5, 7, 6, 12, 3, 0, 15, 11, 8, 10, 9, 1, 4, 2, 14, 13, 16]
2,0.6,0.4,[9, 10, 2, 14, 13, 5, 7, 16, 6, 12, 3, 0, 15, 11, 8, 4, 1]
3,0.6,0.4,[5, 13, 2, 14, 9, 1, 4, 10, 8, 11, 15, 0, 3, 12, 6, 16, 7]
4,0.6,0.4,[11, 15, 0, 6, 16, 13, 14, 9, 1, 4, 10, 2, 5, 7, 12, 3, 8]
5,0.6,0.4,[7, 16, 13, 14, 10, 9, 1, 4, 2, 5, 12, 3, 8, 11, 15, 0, 6]
6,0.6,0.4,[5, 2, 10, 4, 1, 9, 14, 13, 16, 6, 0, 15, 11, 8, 3, 12, 7]
7,0.6,0.4,[3, 12, 8, 11, 15, 0, 6, 7, 5, 10, 4, 1, 9, 2, 14, 13, 16]
8,0.6,0.4,[16, 3, 8, 11, 15, 0, 12, 6, 7, 5, 2, 10, 4, 1, 9, 14, 13]
9,0.6,0.4,[6, 7, 5, 2, 10, 4, 1, 9, 14, 13, 16, 12, 3, 8, 11, 15, 0]
